Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 01:30:00.921,114573.0,0.001,BTCUSDT
2025-09-30 01:30:00.921,114573.0,0.002,BTCUSDT
2025-09-30 01:30:00.923,114572.7,0.001,BTCUSDT
2025-09-30 01:30:00.923,114572.7,0.001,BTCUSDT
2025-09-30 01:30:00.923,114572.6,0.002,BTCUSDT
2025-09-30 01:30:00.923,114572.0,0.002,BTCUSDT
2025-09-30 01:30:00.923,114572.0,0.002,BTCUSDT
2025-09-30 01:30:00.923,114571.8,0.001,BTCUSDT
2025-09-30 01:30:00.995,114571.4,0.002,BTCUSDT
2025-09-30 01:30:00.995,114571.4,0.001,BTCUSDT
2025-09-30 01:30:00.995,114571.4,0.001,BTCUSDT
2025-09-30 01:30:00.995,114571.4,0.001,BTCUSDT
2025-09-30 01:30:00.995,114571.4,0.001,BTCUSDT
2025-09-30 01:30:00.995,114571.4,0.001,BTCUSDT
2025-09-30 01:30:00.995,114571.4,0.001,BTCUSDT
2025-09-30 01:30:00.995,114571.4,0.001,BTCUSDT
2025-09-30 01:30:00.995,114571.4,0.001,BTCUSDT
2025-09-30 01:30:00.995,114571.1,0.001,BTCUSDT
2025-09-30 01:30:00.995,114570.7,0.002,BTCUSDT
2025-09-30 01:30:00.995,114570.4,0.001,BTCUSDT
2025-09-30 01:30:00.995,114570.1,0.004,BTCUSDT
2025-09-30 01:30:00.995,114570.1,0.002,BTCUSDT
2025-09-30 01:30:01.065,114570.0,0.001,BTCUSDT
2025-09-30 01:30:01.067,114570.0,0.002,BTCUSDT
2025-09-30 01:30:01.067,114570.0,0.001,BTCUSDT
2025-09-30 01:30:01.067,114570.0,0.002,BTCUSDT
2025-09-30 01:30:01.078,114570.1,0.001,BTCUSDT
2025-09-30 01:30:01.100,114570.0,0.001,BTCUSDT
2025-09-30 01:30:01.100,114570.0,0.001,BTCUSDT
2025-09-30 01:30:01.100,114570.0,0.002,BTCUSDT
2025-09-30 01:30:01.100,114570.0,0.002,BTCUSDT
2025-09-30 01:30:01.100,114570.0,0.001,BTCUSDT
2025-09-30 01:30:01.100,114570.0,0.001,BTCUSDT
2025-09-30 01:30:01.100,114570.0,0.001,BTCUSDT
2025-09-30 01:30:01.100,114569.5,0.002,BTCUSDT
2025-09-30 01:30:01.100,114569.4,0.001,BTCUSDT
2025-09-30 01:30:01.100,114569.4,0.001,BTCUSDT
2025-09-30 01:30:01.100,114569.3,0.032,BTCUSDT
2025-09-30 01:30:01.197,114569.0,0.174,BTCUSDT
2025-09-30 01:30:01.197,114569.0,0.001,BTCUSDT
2025-09-30 01:30:01.197,114569.0,0.001,BTCUSDT
2025-09-30 01:30:01.197,114569.0,0.001,BTCUSDT
2025-09-30 01:30:01.197,114569.0,0.152,BTCUSDT
2025-09-30 01:30:01.197,114569.0,0.001,BTCUSDT
2025-09-30 01:30:01.199,114569.0,0.001,BTCUSDT
